sequence,rows,cols,n_elements,n_ops,has_transcendental,unfused_ms,fused_ms,speedup,won
Add-ReLU,64,64,4096,2,0,0.006049999996093902,0.008196999999654508,0.7380749050077956,0
Add-ReLU,256,256,65536,2,0,0.04636899998899935,0.017714999984264068,2.6174992960873915,1
Add-ReLU,1024,256,262144,2,0,0.25915700001633013,0.08772200001772035,2.9542988071860985,1
Add-ReLU,1024,1024,1048576,2,0,0.9936129999914556,0.4909689999976763,2.0237795054191983,1
Add-ReLU,4096,512,2097152,2,0,2.1703560000219113,0.9792920000109007,2.2162501072180234,1
Add-ReLU,4096,2048,8388608,2,0,12.838505999980043,5.533425000010084,2.3201734910939695,1
Add-ReLU,4096,4096,16777216,2,0,32.09140199999183,12.657932999985633,2.5352798122748994,1
Add-ReLU,4096,8192,33554432,2,0,87.4087750000001,29.582384000008233,2.9547576354892757,1
Add-Sigmoid,64,64,4096,2,1,0.009318999985907794,0.024263999989670992,0.3840669300146235,0
Add-Sigmoid,256,256,65536,2,1,0.0754680000056851,0.2872579999859681,0.26271853180545546,0
Add-Sigmoid,1024,256,262144,2,1,0.41104600001062863,1.066922000006798,0.3852634025805163,0
Add-Sigmoid,1024,1024,1048576,2,1,1.938967999990382,4.749820000000682,0.4082192588329881,0
Add-Sigmoid,4096,512,2097152,2,1,7.388853000009021,10.291773000005833,0.7179378130478425,0
Add-Sigmoid,4096,2048,8388608,2,1,26.195811000008007,35.84491699999148,0.7308096431082329,0
Add-Sigmoid,4096,4096,16777216,2,1,66.05968899998516,73.65466600001014,0.8968839665904678,0
Add-Sigmoid,4096,8192,33554432,2,1,184.71110300001214,156.03798899999788,1.1837572643929335,1
Add-Tanh,64,64,4096,2,1,0.004315000012411474,0.06603899998935958,0.06534017797220916,0
Add-Tanh,256,256,65536,2,1,0.042028999985177506,1.2511779999897499,0.033591543317994584,0
Add-Tanh,1024,256,262144,2,1,0.21363199999768767,5.155469999976958,0.04143792903433489,0
Add-Tanh,1024,1024,1048576,2,1,1.0770079999815607,20.862719000007246,0.051623568336475543,0
Add-Tanh,4096,512,2097152,2,1,2.069145000007211,41.906724000000395,0.04937501199108743,0
Add-Tanh,4096,2048,8388608,2,1,13.062228999984882,203.02658100001736,0.06433753125155452,0
Add-Tanh,4096,4096,16777216,2,1,32.53321500000084,351.45729900000333,0.0925666221545751,0
Add-Tanh,4096,8192,33554432,2,1,83.79206699999031,698.4593169999869,0.11996699730471472,0
Add-Mul-ReLU,64,64,4096,3,0,0.007348000025331203,0.008164000007582217,0.9000489978572802,0
Add-Mul-ReLU,256,256,65536,3,0,0.0643589999924643,0.02190600000062659,2.937962201708363,1
Add-Mul-ReLU,1024,256,262144,3,0,0.3198769999812612,0.07197900001187918,4.44403228620111,1
Add-Mul-ReLU,1024,1024,1048576,3,0,1.7544199999974808,0.4803569999864976,3.652325249859575,1
Add-Mul-ReLU,4096,512,2097152,3,0,3.454311000012922,0.8994410000013886,3.840508715977578,1
Add-Mul-ReLU,4096,2048,8388608,3,0,18.524050999985775,5.17212599999084,3.5815158022094944,1
Add-Mul-ReLU,4096,4096,16777216,3,0,46.91764199998261,12.838376000019025,3.654484180858473,1
Add-Mul-ReLU,4096,8192,33554432,3,0,132.27004699999156,33.743958000002294,3.9198142375586933,1
Mul-Add-ReLU,64,64,4096,3,0,0.008728000011615222,0.008191999995688093,1.065429689478669,1
Mul-Add-ReLU,256,256,65536,3,0,0.06555300001309661,0.022725000007994822,2.8846204616076823,1
Mul-Add-ReLU,1024,256,262144,3,0,0.38896099999874423,0.0761729999965155,5.106284379196527,1
Mul-Add-ReLU,1024,1024,1048576,3,0,1.6744730000084473,0.4290420000074846,3.902818372045712,1
Mul-Add-ReLU,4096,512,2097152,3,0,3.459900999985166,0.9458210000161671,3.658092810294998,1
Mul-Add-ReLU,4096,2048,8388608,3,0,18.026676000005182,4.9862239999924896,3.6152960637212317,1
Mul-Add-ReLU,4096,4096,16777216,3,0,40.509849000017084,11.210091999998895,3.61369460661171,1
Mul-Add-ReLU,4096,8192,33554432,3,0,122.98837999998113,34.369966000014074,3.5783678110106587,1
Add-Sigmoid-Mul-ReLU,64,64,4096,4,1,0.012103000017305021,0.027118000019754618,0.44630872514523057,0
Add-Sigmoid-Mul-ReLU,256,256,65536,4,1,0.11312800000951029,0.3195360000063374,0.35403835563838376,0
Add-Sigmoid-Mul-ReLU,1024,256,262144,4,1,0.5798140000194962,1.2826500000073793,0.45204381555074297,0
Add-Sigmoid-Mul-ReLU,1024,1024,1048576,4,1,3.0084070000100382,5.236177000000453,0.5745426481972971,0
Add-Sigmoid-Mul-ReLU,4096,512,2097152,4,1,9.287238000013076,10.521092999994153,0.8827255875428758,0
Add-Sigmoid-Mul-ReLU,4096,2048,8388608,4,1,34.90396000000828,44.417662000000746,0.7858126346228601,0
Add-Sigmoid-Mul-ReLU,4096,4096,16777216,4,1,82.57027000001926,91.49049100000184,0.9025011134765645,0
Add-Sigmoid-Mul-ReLU,4096,8192,33554432,4,1,240.14090300002522,192.6970840000024,1.2462093250981536,1
Sub-ReLU,64,64,4096,2,0,0.004774999979417771,0.006357000017942482,0.7511404697090525,0
Sub-ReLU,256,256,65536,2,0,0.04160099999239719,0.01970700000697434,2.1109757942697787,1
Sub-ReLU,1024,256,262144,2,0,0.24478100002056635,0.06880200001546655,3.55775994833784,1
Sub-ReLU,1024,1024,1048576,2,0,1.043603999988818,0.4477790000123605,2.330622918805952,1
Sub-ReLU,4096,512,2097152,2,0,2.129585000005818,0.9696470000051249,2.196247706634025,1
Sub-ReLU,4096,2048,8388608,2,0,13.663387000008242,4.963365999998359,2.752846959102504,1
Sub-ReLU,4096,4096,16777216,2,0,32.04340699997488,11.18066299997622,2.8659666247022226,1
